_id,userId,bitId,watchedMs,totalDurationMs,watchPercent,completedWatch,rewatched,replayCount,pauseCount,soundOn,tappedProduct,scrolledToProduct,addedToCart,likedDuringWatch,sharedDuringWatch,source,deviceType,timestamp,__v
{'$oid': '6a08bb67b7bb9861659c3e29'},{'$oid': '69f8608068f7e97ef44183e4'},{'$oid': '6a08bb2eb7bb9861659c3e06'},0,0,0,False,False,0,0,True,,False,False,False,True,feed,android,{'$date': '2026-05-16T18:45:59.497Z'},0
{'$oid': '6a0d9d87d4f03db64a7921bf'},{'$oid': '6a084ac71a9ba20ae97f5f37'},{'$oid': '6a0c58c8d4f03db64a788ccd'},0,0,0,False,False,0,0,True,,False,False,False,True,feed,android,{'$date': '2026-05-20T11:39:51.525Z'},0
{'$oid': '6a0d9d88d4f03db64a7921c4'},{'$oid': '6a084ac71a9ba20ae97f5f37'},{'$oid': '6a0c58c8d4f03db64a788ccd'},0,0,0,False,False,0,0,True,,False,False,False,True,feed,android,{'$date': '2026-05-20T11:39:52.968Z'},0
{'$oid': '6a0ff9a4fac84b0b7fb94d91'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0efe70c5a9d08fea4c67cf'},0,0,0,False,False,0,0,True,,False,False,False,False,feed,android,{'$date': '2026-05-22T06:37:24.594Z'},0
{'$oid': '6a0ff9a5fac84b0b7fb94d99'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0febf65ecfbb647dcf6c6f'},0,0,0,False,False,0,0,True,,False,False,False,False,feed,android,{'$date': '2026-05-22T06:37:25.021Z'},0
{'$oid': '6a0ff9a5fac84b0b7fb94d9b'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0febf65ecfbb647dcf6c6f'},0,0,0,False,False,0,0,True,{'$oid': '6a0febf65ecfbb647dcf6c6f'},False,False,False,False,feed,android,{'$date': '2026-05-22T06:37:25.035Z'},0
{'$oid': '6a0ff9a6fac84b0b7fb94dc1'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0efe70c5a9d08fea4c67cf'},0,0,0,False,True,0,0,True,{'$oid': '6a0efe70c5a9d08fea4c67cf'},False,False,False,False,feed,android,{'$date': '2026-05-22T06:37:26.894Z'},0
{'$oid': '6a0ff9a8fac84b0b7fb94ddc'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0efe70c5a9d08fea4c67cf'},0,0,0,False,True,0,0,True,{'$oid': '6a0efe70c5a9d08fea4c67cf'},False,False,False,False,feed,android,{'$date': '2026-05-22T06:37:28.98Z'},0
{'$oid': '6a0ff9a9fac84b0b7fb94de0'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0efbb6c5a9d08fea4c6025'},0,0,0,False,False,0,0,True,,False,False,False,False,feed,android,{'$date': '2026-05-22T06:37:29.006Z'},0
{'$oid': '6a0ff9d1fac84b0b7fb94e25'},{'$oid': '698e259d2c63bfbc04768479'},{'$oid': '6a0eee72ed25ae0d7deabbfc'},0,0,0,False,False,0,0,True,,False,False,False,False,feed,android,{'$date': '2026-05-22T06:38:09.564Z'},0
